76, 64, 37, 31,
128, 128, 31, 34,
223, 0, 31, 38,
155, 0, 33, 31,
39, 0, 38, 31,
192, 128, 31, 33,
0, 98, 31, 38,
114, 64, 33, 31,
0, 65, 37, 32,
96, 167, 31, 34,
32, 98, 31, 38,
155, 32, 33, 31,
39, 32, 38, 31,
160, 163, 31, 33,
0, 137, 31, 38,
189, 0, 33, 31,
76, 96, 37, 31,
128, 198, 31, 33,
32, 137, 31, 38,
114, 96, 33, 31,
0, 0, 38, 32,
64, 206, 31, 34,
0, 176, 31, 38,
148, 64, 33, 31,
117, 0, 37, 31,
224, 128, 31, 33,
64, 128, 31, 38,
189, 32, 33, 31,
78, 0, 38, 31,
160, 128, 31, 34,
32, 176, 31, 38,
148, 96, 33, 31,
117, 32, 37, 31,
128, 163, 31, 34,
0, 215, 31, 38,
182, 64, 33, 31,
78, 32, 38, 31,
192, 162, 31, 33,
96, 128, 31, 38,
182, 96, 33, 31,
38, 65, 37, 32,
96, 202, 31, 34,
64, 167, 31, 38,
216, 64, 33, 31,
0, 33, 38, 31,
160, 197, 31, 33,
32, 215, 31, 38,
216, 96, 33, 31,
223, 39, 21, 17,
228, 201, 16, 17,
224, 162, 17, 21,
180, 235, 17, 15,
96, 237, 21, 17,
198, 235, 16, 17,
192, 196, 17, 21,
210, 217, 17, 15,
118, 237, 21, 17,
228, 219, 16, 17,
162, 231, 17, 20,
192, 218, 17, 16,
140, 232, 21, 17,
215, 237, 16, 17,
210, 196, 17, 20,
228, 184, 17, 16,
